type,extensions,note_numbers
half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[23, 33, 38, 41, 45, 52]"
augmented-seventh,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[28, 38, 44, 48, 55]"
half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[21, 31, 36, 39, 43, 50]"
augmented-seventh,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[26, 36, 42, 46, 53]"
major,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[26, 36, 41, 44]"
half-diminished,[],"[26, 36, 41, 44]"
major-minor,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[19, 26, 34, 42, 48]"
major-minor,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[19, 34, 42, 48]"
minor-seventh,[],"[18, 30, 38, 43]"
half-diminished,[],"[38, 43, 46, 50]"
half-diminished,[],"[21, 31, 36, 39, 43]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[26, 36, 39, 42, 48]"
minor-seventh,[],"[19, 34, 38, 40, 46]"
dominant-13th,[],"[24, 34, 38, 40, 45, 52]"
minor-seventh,[],"[27, 37, 42, 49]"
dominant-13th,[],"[20, 30, 36, 41, 48]"
minor-seventh,[],"[26, 36, 41, 48]"
dominant-13th,[],"[19, 29, 35, 40, 47]"
dominant-13th,[],"[29, 39, 45, 50, 57]"
minor-seventh,[],"[19, 34, 40, 45, 50]"
dominant,[],"[24, 34, 38, 40]"
half-diminished,[],"[16, 31, 38, 46]"
dominant,[],"[27, 37, 41, 45]"
dominant,[],"[26, 36, 42]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[26, 30, 36, 39, 44, 50]"
minor-ninth,[],"[18, 30, 38, 43]"
half-diminished,[],"[28, 34, 38, 43]"
half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[21, 31, 36, 39, 43, 50]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[26, 36, 39, 44, 48]"
minor-seventh,[],"[38, 41, 46]"
dominant,[],"[40, 45, 52]"
minor-seventh,[],"[27, 37, 42, 49]"
dominant,[],"[36, 41, 48]"
minor-seventh,[],"[26, 36, 41, 48]"
dominant,[],"[35, 40, 47]"
dominant,[],"[45, 50, 57, 58]"
major-seventh,[],"[24, 34, 40, 45]"
dominant-13th,[],"[24, 34, 40, 45]"
half-diminished,[],"[28, 34, 38, 43, 46]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[41, 43, 45]"
minor-seventh,[],"[19, 33, 34, 40, 43]"
half-diminished,[],"[28, 34, 38, 43, 46]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[27, 37, 41, 43, 45]"
dominant,[],"[26, 36, 42]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[39, 44, 48, 50]"
half-diminished,[],"[28, 34, 38, 43, 46]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[27, 37, 41, 45, 46]"
dominant,[],"[26, 36, 40, 42]"
major,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[36, 42, 46, 51, 56, 60, 62]"
