type,extensions,note_numbers
half-diminished,[],"[41, 47, 50, 53, 56]"
diminished,[],"[44, 50, 54, 59]"
major,[],"[42, 49, 52, 57]"
minor-13th,[],"[39, 49, 54, 57]"
major,[],"[38, 49, 52, 57]"
major,[],"[52, 57, 61]"
minor-seventh,[],"[38, 42, 45, 50]"
half-diminished,[],"[38, 42, 45, 50]"
minor-seventh,[],"[42, 45, 50]"
half-diminished,[],"[37, 40, 43, 46, 49]"
minor-seventh,[],"[35, 42, 45, 50]"
dominant-ninth,[],"[19, 41, 45, 50]"
minor-seventh,[],"[35, 42, 45, 50]"
major-seventh,[],"[33, 40, 44, 49]"
minor-seventh,[],"[35, 42, 45, 50]"
minor-seventh,[],"[37, 44, 47, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[28, 38, 42, 45, 47]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[16, 38, 41, 44, 47]"
major-seventh,[],"[33, 52, 56, 61]"
minor-seventh,[],"[49, 50, 54, 59]"
minor-seventh,[],"[35, 54, 57, 62]"
major-seventh,[],"[52, 56, 61]"
major-ninth,[],"[32, 42, 47, 52]"
minor-seventh,[],"[30, 40, 45, 52]"
half-diminished,[],"[29, 53, 56, 62]"
minor-seventh,[],"[30, 45, 49, 52, 57]"
dominant-ninth,[],"[28, 38, 55, 59, 62]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[33, 50, 55, 61]"
minor-seventh,[],"[18, 49, 52, 57]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[27, 37, 46, 49, 56]"
dominant,[],"[26, 36, 45, 52, 56]"
major-minor,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[25, 35, 41, 45, 49, 54]"
minor-seventh,[],"[18, 30, 53, 57, 61]"
major-minor,[],"[45, 46, 50, 53, 57]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[42, 43, 46, 49, 54]"
minor-ninth,[],"[30, 40, 43, 45, 49, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[23, 33, 42, 45, 52]"
minor-seventh,[],"[35, 42, 45, 50]"
minor-seventh,[],"[34, 41, 44, 49]"
major-seventh,[],"[33, 40, 44, 49]"
minor-ninth,[],"[30, 37, 40, 45]"
minor-seventh,[],"[27, 37, 42, 45]"
minor-seventh,[],"[26, 36, 41, 45]"
major-seventh,[],"[17, 40, 45]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[34, 44, 60]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[30, 40, 44]"
minor-seventh,[],"[27, 37, 46, 49, 54]"
minor-seventh,[],"[32, 42, 46, 47, 51]"
minor-seventh,[],"[27, 37, 46, 49, 54]"
minor-seventh,[],"[32, 42, 51]"
major-ninth,[],"[28, 39, 42, 44, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[30, 40, 44, 47, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[30, 40, 44, 47, 51]"
minor-seventh,[],"[32, 42, 46, 47, 51]"
minor-seventh,[],"[27, 37, 42, 46, 49, 54]"
minor-seventh,[],"[20, 39, 42, 47, 51]"
major-ninth,[],"[28, 39, 42, 44, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[27, 41, 44, 51]"
dominant-ninth,[],"[37, 41, 43, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[39, 53, 56, 63]"
dominant,[],"[53, 55, 63]"
minor-seventh,[],"[20, 30, 35, 39, 42, 46]"
minor-seventh,[],"[20, 30, 35, 39, 42, 46]"
dominant,[],"[26, 36, 42, 46]"
minor,[],"[25, 39, 40, 44]"
minor-seventh,[],"[32, 39, 40, 44, 47]"
major-seventh,[],"[35, 42, 46, 51]"
minor-ninth,[],"[30, 33, 40, 45, 49]"
major-ninth,[],"[28, 39, 40, 42]"
major,[],"[32, 39, 42, 44, 47]"
minor-seventh,[],"[30, 37, 40, 42, 45]"
major,[],"[23, 33, 39, 44, 47, 51]"
major-ninth,[],"[16, 35, 39, 42]"
minor-seventh,[],"[32, 39, 42, 47, 47]"
minor-seventh,[],"[25, 35, 37, 40, 47]"
dominant-ninth,[],"[18, 40, 44, 49]"
major-ninth,[],"[28, 39, 42, 44, 49]"
minor-seventh,[],"[27, 37, 42, 46, 49, 54]"
minor-seventh,[],"[32, 42, 46, 47, 51]"
minor-seventh,[],"[32, 42, 46, 47, 51]"
minor-seventh,[],"[32, 42, 46, 47, 51]"
minor-seventh,[],"[27, 37, 42, 46, 49, 54]"
minor-seventh,[],"[20, 39, 42, 47, 51]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 42, 44, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[39, 42, 44, 49]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major,[],"[16, 59, 63]"
major,[],"[21, 56, 59]"
major,[],"[23, 52, 56]"
major,[],"[21, 49, 52]"
major,[],"[19, 26, 31, 35, 38, 43, 47]"
major,[],"[22, 29, 34, 38, 41, 46, 50]"
major,[],"[25, 32, 37, 41, 44, 49, 53]"
major,[],"[16, 59, 63]"
major,[],"[21, 56, 59]"
major,[],"[23, 52, 56]"
major,[],"[21, 28, 52]"
major,[],"[19, 26, 31, 35, 38, 43, 47]"
major,[],"[24, 31, 36, 40, 43, 48, 52]"
major,[],"[29, 36, 41, 45, 48, 53, 57]"
major,[],"[16, 59, 63]"
major,[],"[21, 56, 59]"
major,[],"[23, 52, 56]"
major,[],"[19, 26, 31, 35, 38, 43, 47]"
major,[],"[22, 29, 34, 38, 41, 46, 50]"
major,[],"[25, 32, 37, 41, 44, 49, 53]"
major,[],"[16, 59, 63]"
major,[],"[21, 56, 59]"
major,[],"[23, 52, 56]"
minor-seventh,[],"[18, 25, 33, 40, 45]"
minor-seventh,[],"[20, 35, 42, 47]"
dominant-ninth,[],"[22, 44, 48]"
minor-seventh,[],"[21, 31, 36, 52, 55]"
dominant-13th,[],"[26, 36, 42, 47, 55, 59]"
major-13th,[],"[26, 35, 40, 45, 47, 50, 54]"
minor-seventh,[],"[31, 34, 41, 46, 53]"
dominant-13th,[],"[36, 40, 46, 50, 53, 57]"
augmented-seventh,[],"[30, 34, 40, 46, 50]"
major-seventh,[],"[29, 33, 38, 43, 48, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 30, 38, 40, 45, 52]"
major,[],"[16, 59, 63]"
major,[],"[21, 56, 59]"
major,[],"[23, 52, 56]"
major,[],"[19, 26, 31, 35, 38, 43, 47]"
major,[],"[22, 29, 34, 38, 41, 46, 50]"
major,[],"[25, 32, 37, 41, 44, 49, 53]"
major,[],"[16, 59, 63]"
major,[],"[21, 56, 59]"
major,[],"[23, 52, 56]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 42, 44, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[39, 42, 44, 49]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major,[],"[23, 39, 42]"
major,[],"[30, 57, 61]"
major,[],"[30, 52, 59]"
major,[],"[16, 52, 59]"
major,[],"[28, 40, 52]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 42, 44, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[39, 42, 44, 49]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 42, 44, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[39, 42, 44, 49]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 42, 44, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[39, 42, 44, 49]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major,[],"[16, 28, 32]"
major,[],"[21, 33, 37]"
major,[],"[21, 37, 40]"
major,[],"[16, 28, 32]"
major,[],"[21, 33, 37]"
major,[],"[21, 39, 42]"
major,[],"[20, 32, 36]"
major,[],"[25, 37, 41]"
major,[],"[16, 40, 44]"
major,[],"[21, 33, 37]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 42, 44, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[39, 42, 44, 49]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 42, 44, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[39, 42, 44, 49]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 40, 42, 47]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[16, 37, 40, 42, 44, 47]"
major-seventh,[],"[23, 34, 39, 44]"
minor-seventh,[],"[25, 35, 40, 44]"
minor-seventh,[],"[27, 37, 44]"
dominant,[],"[26, 36, 42]"
minor-seventh,[],"[25, 35, 40, 42]"
dominant,[],"[24, 34, 40, 42]"
major-seventh,[],"[23, 34, 39, 42]"
major-sixth,[],"[23, 32, 42, 51]"
minor-seventh,[],"[30, 33, 37, 40, 45]"
dominant,[],"[23, 33, 36, 39, 44]"
major-seventh,[],"[28, 39, 44]"
dominant,[],"[28, 38, 42, 46]"
minor-seventh,[],"[27, 37, 42, 47]"
dominant,[],"[22, 31, 37, 42]"
dominant,[],"[20, 30, 36, 39, 42]"
dominant,[],"[26, 30, 36, 40, 42]"
minor-seventh,[],"[25, 35, 41, 45, 52]"
dominant,[],"[30, 34, 43, 46, 52]"
minor-seventh,[],"[27, 37, 41, 46, 51]"
dominant,[],"[32, 36, 42, 46, 52]"
minor-seventh,[],"[25, 35, 40, 44, 49]"
dominant,[],"[30, 34, 40, 43, 46, 51]"
minor-seventh,[],"[25, 35, 44, 47, 52]"
dominant,[],"[30, 34, 40, 44, 52]"
major-seventh,[],"[23, 34, 42, 46, 51]"
minor-seventh,[],"[30, 33, 40, 44, 49]"
dominant,[],"[39, 44, 47]"
major-seventh,[],"[28, 39, 40, 44]"
minor-seventh,[],"[25, 35, 44, 47, 52]"
minor-seventh,[],"[30, 33, 40, 44, 49]"
dominant,[],"[23, 33, 36, 39, 45]"
minor-seventh,[],"[30, 33, 40, 44, 49]"
dominant,[],"[24, 33, 39, 42, 45]"
dominant,[],"[24, 33, 39, 42, 45]"
major-seventh,[],"[28, 32, 39, 44, 47]"
minor-seventh,[],"[27, 30, 37, 42, 45]"
dominant,[],"[20, 30, 36, 40, 45]"
minor-seventh,[],"[25, 35, 44, 47, 52]"
minor-seventh,[],"[23, 44, 47, 52]"
minor-seventh,[],"[22, 32, 40, 46, 49]"
dominant,[],"[27, 37, 39, 41, 46]"
minor-seventh,[],"[32, 35, 42, 46, 51]"
dominant,[],"[25, 35, 41, 46, 53]"
minor-seventh,[],"[37, 40, 44, 47, 54]"
dominant,[],"[30, 40, 43, 46, 54]"
major-seventh,[],"[23, 34, 39, 44]"
minor-seventh,[],"[25, 35, 40, 44]"
minor-seventh,[],"[27, 37, 44]"
dominant,[],"[26, 36, 42]"
minor-seventh,[],"[25, 35, 40, 42]"
dominant,[],"[24, 34, 40, 42]"
major-seventh,[],"[23, 34, 39, 42]"
major-sixth,[],"[23, 32, 42, 51]"
minor-seventh,[],"[30, 33, 37, 40, 45]"
dominant,[],"[23, 33, 36, 39, 44]"
major-seventh,[],"[28, 39, 44]"
dominant,[],"[28, 38, 42, 46]"
major-seventh,[],"[27, 37, 42, 47]"
dominant-13th,[],"[26, 36, 42, 47]"
minor-seventh,[],"[25, 35, 41, 45, 49]"
dominant,[],"[30, 34, 40, 44, 49]"
minor-seventh,[],"[27, 37, 42, 46, 51]"
dominant,[],"[32, 36, 42, 46, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[25, 35, 44, 53]"
dominant,[],"[25, 35, 41, 46, 49]"
minor-seventh,[],"[28, 38, 43, 47, 52]"
dominant-13th,[],"[22, 31, 42, 49]"
dominant,[],"[30, 34, 40, 44, 49]"
major-seventh,[],"[35, 42, 46, 51]"
major-seventh,[],"[33, 42, 47]"
minor-seventh,[],"[32, 39, 42, 47]"
minor-seventh,[],"[30, 36, 39, 46, 51]"
diminished-seventh,[],"[29, 35, 41, 44, 49]"
dominant,[],"[28, 38, 42, 46, 49]"
minor-seventh,[],"[27, 37, 41, 42]"
dominant-13th,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[26, 36, 42, 44, 47]"
minor-seventh,[],"[25, 35, 40, 42]"
dominant-ninth,[],"[30, 34, 40, 44, 49]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[40, 43, 49]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[29, 39, 44, 47]"
minor-seventh,[],"[28, 38, 43, 47]"
minor-seventh,[],"[27, 37, 42, 47]"
minor-seventh,[],"[26, 36, 41, 47]"
minor-seventh,[],"[25, 35, 40, 47]"
minor-seventh,[],"[24, 35, 40, 47]"
major-seventh,[],"[23, 34, 39, 42, 46]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[23, 33, 45, 48, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[23, 33, 45, 48, 52]"
major-seventh,[],"[33, 52, 54]"
minor-seventh,[],"[20, 42, 44, 47]"
minor-seventh,[],"[32, 42, 44, 47, 51]"
diminished,[],"[31, 39, 43, 46, 51]"
minor-ninth,[],"[28, 37, 40, 45]"
minor-ninth,[],"[23, 48, 51, 54]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","[30, 40, 43, 46, 50]"
dominant,[],"[23, 33, 42, 45, 48, 51]"
major-seventh,[],"[21, 32, 37, 40]"
minor-seventh,[],"[20, 35, 39]"
major,[],"[33, 39, 44, 48]"
major,[],"[34, 40, 45, 49]"
major,[],"[33, 39, 44, 48]"
major,[],"[34, 45, 49]"
minor-seventh,[],"[27, 37, 42]"
dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[33, 43, 47, 51]"
dominant,[],"[32, 58, 60, 63]"
minor-ninth,[],"[27, 37, 41, 43]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 36, 39, 44]"
minor-seventh,[],"[25, 35, 37, 40]"
minor-seventh,[],"[23, 38, 40]"
dominant-ninth,[],"[28, 38, 42, 44]"
minor-seventh,[],"[23, 33, 38, 42, 45]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[28, 38, 41, 47]"
dominant-13th,[],"[22, 32, 38, 41, 48]"
major-seventh,[],"[21, 32, 40, 44, 49]"
major-seventh,[],"[26, 37, 42]"
dominant,[],"[32, 42, 44, 48]"
major-seventh,[],"[33, 40, 44, 49]"
minor-11th,[],"[25, 35, 37, 40, 42]"
dominant,[],"[30, 40, 44, 46]"
minor-seventh,[],"[32, 42, 44, 47]"
dominant,[],"[34, 43, 46, 49]"
dominant-ninth,[],"[36, 43, 46, 50]"
dominant-ninth,[],"[23, 33, 42, 45, 49, 51]"
dominant-ninth,[],"[41, 44, 48, 50]"
dominant-ninth,[],"[23, 33, 42, 45, 49, 51]"
dominant-ninth,[],"[41, 44, 48, 50]"
dominant-13th,[],"[33, 39, 44, 51]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[23, 33, 39, 43, 51]"
major-seventh,[],"[21, 40, 44, 49]"
dominant,[],"[19, 41, 45, 49]"
dominant,[],"[30, 40, 44, 48, 51]"
diminished,[],"[31, 39, 43, 46, 51]"
minor-11th,[],"[30, 33, 40, 44, 47]"
minor-11th,[],"[52, 56, 59]"
dominant-ninth,[],"[23, 33, 39, 44, 47]"
dominant-ninth,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[39, 43, 49]"
half-diminished,[],"[27, 42, 45, 48]"
major-seventh,[],"[33, 40, 43]"
dominant-ninth,[],"[20, 30, 34, 36, 44]"
major,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[41, 41, 45, 49, 52]"
dominant-ninth,[],"[35, 39, 41, 44, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[30, 35, 40, 42]"
dominant,[],"[24, 34, 42]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[23, 33, 37, 40, 42]"
minor-seventh,[],"[11, 33, 37, 40]"
minor-sixth,[],"[16, 31, 40, 43, 47]"
major-minor,[],"[16, 31, 39, 43, 47]"
minor-seventh,[],"[16, 31, 38, 43, 47]"
minor-sixth,[],"[16, 31, 37, 43, 47]"
minor-sixth,[],"[16, 31, 40, 43, 47]"
major-minor,[],"[16, 31, 39, 43, 47]"
minor-seventh,[],"[16, 31, 38, 43, 47]"
minor-sixth,[],"[16, 31, 37, 43, 47]"
minor-sixth,[],"[16, 31, 37, 42, 47]"
major-minor,[],"[16, 31, 39, 42, 47]"
minor-seventh,[],"[16, 31, 38, 42, 47]"
minor-sixth,[],"[16, 31, 37, 42, 47]"
half-diminished,[],"[18, 28, 36, 45]"
dominant,[],"[34, 38, 40, 45, 57]"
major-minor,[],"[28, 43, 51, 54, 59]"
minor-seventh,[],"[28, 38, 43, 50, 54, 59]"
minor-sixth,[],"[28, 37, 43, 49, 54, 59]"
half-diminished,[],"[33, 36, 40, 42, 57]"
dominant,[],"[34, 38, 40, 45]"
minor-seventh,[],"[21, 31, 36, 40, 43, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[23, 33, 39, 44, 48]"
major-seventh,[],"[24, 35, 38, 40, 43]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 33, 39, 45]"
major-seventh,[],"[24, 35, 38, 40]"
dominant,[],"[28, 34, 38, 40, 45]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 36, 39]"
minor-sixth,[],"[16, 31, 35, 37, 40]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[23, 33, 39, 43, 50]"
minor-sixth,[],"[16, 31, 37, 42, 47]"
major-minor,[],"[16, 31, 39, 42, 47]"
minor-seventh,[],"[16, 31, 38, 42, 47]"
minor-sixth,[],"[16, 31, 37, 42, 47]"
half-diminished,[],"[18, 28, 36, 45]"
half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[36, 40, 42, 47, 69]"
dominant,[],"[33, 39, 42, 47]"
major-minor,[],"[28, 43, 51, 54, 59]"
minor-seventh,[],"[28, 38, 43, 50, 54, 59]"
minor-sixth,[],"[28, 37, 43, 49, 54, 59]"
half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[36, 40, 42, 47, 57]"
minor-seventh,[],"[21, 31, 36, 40, 43, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[36, 39, 42, 45, 45, 51, 54]"
major-seventh,[],"[36, 40, 43]"
dominant,[],"[36, 39, 42, 45, 57]"
major-seventh,[],"[35, 36, 40, 43, 52]"
half-diminished,[],"[36, 40, 42, 47, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[33, 36, 39, 43, 51, 51]"
minor-sixth,[],"[31, 35, 37, 42, 52]"
half-diminished,[],"[36, 42, 47, 52, 59]"
dominant,[],"[34, 40, 45, 50, 57]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[35, 41, 45, 51, 55, 62]"
minor-seventh,[],"[23, 38, 42, 49]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[22, 40, 42, 49]"
minor-seventh,[],"[21, 38, 42, 49]"
half-diminished,[],"[20, 38, 42, 49]"
minor-seventh,[],"[37, 43, 47, 54]"
dominant,[],"[37, 43, 46, 54]"
minor-seventh,[],"[28, 43, 47, 54]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[27, 45, 48, 54]"
minor-seventh,[],"[14, 43, 47, 54]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[25, 43, 47, 54]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[28, 43, 46, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 44, 46, 49]"
minor-seventh,[],"[25, 35, 40, 42]"
major-seventh,[],"[23, 34, 39, 42, 49]"
major-sixth,[],"[30, 40, 44, 49]"
major-seventh,[],"[23, 34, 39, 42, 49]"
minor-seventh,[],"[30, 40, 44, 49]"
dominant,[],"[35, 45, 49, 54]"
none,[],"[29, 44, 47]"
major-seventh,[],"[28, 39, 44, 47, 54]"
half-diminished,[],"[29, 39, 45, 48, 54]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[34, 44, 50, 53, 59]"
major-seventh,[],"[39, 46, 50, 55]"
major-seventh,[],"[39, 46, 49, 55]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[33, 43, 49, 52, 57]"
major-seventh,[],"[38, 45, 49, 54]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[33, 43, 46]"
major-seventh,[],"[38, 45, 49, 54]"
dominant,[],"[32, 42, 46, 49, 56]"
minor-seventh,[],"[37, 47, 51, 54]"
dominant,[],"[37, 44, 47, 53]"
major-seventh,[],"[35, 42, 46, 51]"
minor-seventh,[],"[34, 41, 44, 49]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[33, 43, 47, 51, 54]"
minor-ninth,[],"[32, 42, 46, 49, 51]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 40, 44]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[18, 40, 43]"
major-seventh,[],"[23, 34, 39, 42, 49]"
minor-sixth,[],"[30, 40, 43, 49]"
major-seventh,[],"[30, 40, 44, 47, 52]"
major-seventh,[],"[35, 42, 46, 51]"
major-sixth,[],"[30, 43, 49, 52]"
minor-seventh,[],"[35, 38, 42, 49]"
minor-seventh,[],"[32, 38, 42]"
half-diminished,[],"[30, 40, 43, 46, 49]"
half-diminished,[],"[37, 40, 43, 46]"
dominant,[],"[18, 40, 42]"
minor-seventh,[],"[28, 38, 42, 49]"
half-diminished,[],"[37, 40, 43, 46]"
dominant,[],"[18, 40, 43, 46, 49]"
major,[],"[23, 34, 38, 42, 46]"
major,[],"[28, 28, 35, 39, 44]"
dominant-ninth,[],"[30, 34, 40, 44, 54]"
minor-seventh,[],"[32, 32, 39, 42, 54]"
dominant,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[23, 33, 35, 42, 56]"
dominant-ninth,[],"[27, 31, 37, 41, 55]"
minor-seventh,[],"[32, 32, 39, 42, 47, 51]"
minor-sixth,[],"[32, 32, 39, 42, 47, 51]"
minor-seventh,[],"[30, 37, 40, 44, 47, 51]"
dominant,[],"[30, 37, 40, 44, 47, 51]"
dominant-ninth,[],"[30, 34, 40, 44, 54]"
minor-seventh,[],"[32, 32, 39, 42, 51, 59]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[30, 30, 40, 49, 59]"
dominant,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[33, 35, 39, 44, 51, 61]"
minor-ninth,[],"[25, 35, 37, 52, 56, 63]"
minor-ninth,[],"[35, 35, 39, 40, 44, 56]"
half-diminished,[],"[34, 34, 40, 44, 58]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[27, 43, 54]"
minor-seventh,[],"[32, 32, 39, 42, 54]"
minor-ninth,[],"[30, 30, 40, 45, 49, 56]"
dominant,[],"[30, 30, 40, 45, 49, 56]"
dominant-ninth,[],"[30, 34, 40, 44, 54, 66]"
minor-seventh,[],"[32, 32, 39, 42, 54, 66]"
dominant,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[33, 35, 37, 39, 44, 68]"
dominant-ninth,[],"[27, 31, 37, 41, 70]"
minor-seventh,[],"[32, 32, 39, 42, 70]"
minor-sixth,[],"[32, 32, 39, 42, 70]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[35, 39, 66]"
dominant-ninth,[],"[30, 34, 40, 44, 54]"
minor-seventh,[],"[32, 32, 42, 51, 59]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[30, 30, 40, 49, 59]"
dominant,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[33, 35, 37, 39, 44, 51, 54, 61]"
half-diminished,[],"[34, 34, 40, 44, 61]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[27, 43, 58]"
minor-seventh,[],"[32, 32, 39, 42, 54]"
half-diminished,[],"[32, 37, 40, 44, 56]"
dominant,[],"[43, 49, 58]"
minor-seventh,[],"[27, 32, 39, 42, 51, 59]"
dominant-ninth,[],"[34, 40, 44, 49, 49, 58]"
dominant,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[25, 35, 44, 46, 51, 56]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[37, 39, 45, 49]"
minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[33, 39, 42, 44]"
dominant,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[23, 33, 47, 51, 56]"
major,[],"[28, 42, 56, 59]"
dominant,[],"[25, 28, 35, 49]"
half-diminished,[],"[34, 37, 39, 40, 44, 49, 61]"
dominant,[],"[39, 43, 51, 63]"
minor-seventh,[],"[32, 35, 39, 42, 51, 56, 59]"
half-diminished,[],"[34, 39, 40, 44, 49, 52]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[27, 37, 40, 56]"
minor-seventh,[],"[32, 35, 39, 42, 51, 59]"
dominant-ninth,[],"[34, 40, 44, 49, 54, 58]"
dominant,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[25, 35, 46, 51, 56]"
