root,type,extensions,notes,note_numbers
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['Eb5', 'F#5', 'A5']","[55, 58, 61]"
G,major-minor,[],"['G2', 'A3', 'Bb3', 'E4']","[23, 37, 38, 44]"
C,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['C2', 'A3', 'Bb3', 'E4']","[16, 37, 38, 44]"
C,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['F#3', 'Bb3', 'D4', 'G4']","[34, 38, 42, 47]"
G,minor-seventh,[],"['G2', 'F3', 'Bb3', 'D4', 'Bb4']","[23, 33, 38, 42, 50]"
C,dominant-ninth,[],"['C3', 'Bb3', 'D4', 'E4', 'A4']","[28, 38, 42, 44, 49]"
C,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['Db4', 'E4', 'G4']","[41, 44, 47]"
F,major-seventh,[],"['F2', 'C4', 'E4', 'A4']","[21, 40, 44, 49]"
G,major,[],"['B2', 'D4', 'G4']","[27, 42, 47]"
Bb,minor-seventh,[],"['Bb2', 'Db4', 'F4']","[26, 41, 45]"
F,major,[],"['A2', 'C4', 'F4']","[25, 40, 45]"
Ab,diminished,[],"['Ab2', 'B3', 'D4']","[24, 39, 42]"
G,minor-seventh,[],"['G2', 'Bb3', 'F4']","[23, 38, 45]"
C,dominant-ninth,[],"['C3', 'A3', 'Bb3', 'D4']","[28, 37, 38, 42]"
Gb,dominant-ninth,[],"['F#2', 'F#3', 'G#3', 'B3', 'E4']","[22, 34, 36, 39, 44]"
F,suspended-fourth,[],"['F2', 'Eb3', 'G3', 'Bb3', 'F4']","[21, 31, 35, 38, 45]"
B,dominant-ninth,[],"['B2', 'A3', 'C#4', 'F4']","[27, 37, 41, 45]"
Bb,major-ninth,[],"['Bb2', 'D4', 'F4', 'C5']","[26, 42, 45, 52]"
B,major-seventh,[],"['Bb3', 'F4', 'A4', 'D5']","[38, 45, 49, 54]"
C,minor-seventh,[],"['Bb3', 'Eb4', 'G4', 'C5']","[38, 43, 47, 52]"
F,minor-seventh,[],"['Bb3', 'Gb4', 'Bb4', 'Eb5']","[38, 46, 50, 55]"
Bb,major-ninth,[],"['Bb2', 'E4', 'F#4', 'C5']","[26, 44, 46, 52]"
G,minor-seventh,[],"['Bb3', 'C4', 'F4', 'D5']","[38, 40, 45, 54]"
C,minor-seventh,[],"['Gb2', 'Eb4', 'Ab4', 'Bb4']","[22, 43, 48, 50]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'Eb4', 'A4', 'C5']","[21, 43, 49, 52]"
C,half-diminished,[],"['Bb2', 'Gb4', 'Bb4', 'Eb5']","[26, 46, 50, 55]"
F,minor-ninth,[],"['G3', 'Eb4', 'A4', 'C5']","[35, 43, 49, 52]"
Bb,major,[],"['G3', 'F4', 'Bb4', 'D5']","[35, 45, 50, 54]"
Bb,minor-ninth,[],"['Bb3', 'Eb4', 'Ab4', 'C5']","[38, 43, 48, 52]"
