root,type,extensions,notes,note_numbers
C,major-seventh,[],"['B3', 'D4', 'E4', 'G4', 'D5']","[39, 42, 44, 47, 54]"
B,minor-seventh,[],"['A3', 'B3', 'D4', 'F#4']","[37, 39, 42, 46]"
E,dominant,[],"['G#3', 'B3', 'D4', 'F#4']","[36, 39, 42, 46]"
Bb,minor-seventh,[],"['Ab3', 'Bb3', 'Db4', 'F4']","[36, 38, 41, 45]"
Eb,dominant,[],"['G3', 'Bb3', 'Db4', 'F4']","[35, 38, 41, 45]"
Ab,major-seventh,[],"['G3', 'Ab3', 'C4', 'Eb4', 'G4']","[35, 36, 40, 43, 47]"
A,minor-seventh,[],"['G3', 'A3', 'C4', 'E4', 'C5']","[35, 37, 40, 44, 52]"
D,dominant,[],"['B3', 'C4', 'E4', 'F#4']","[39, 40, 44, 46]"
D,minor-seventh,[],"['D3', 'A3', 'C4', 'F4', 'G4']","[30, 37, 40, 45, 47]"
Eb,dominant-ninth,[],"['F3', 'G3', 'Db4', 'Eb4']","[33, 35, 41, 43]"
Ab,major-seventh,[],"['G3', 'Ab3', 'C4', 'Ab4']","[35, 36, 40, 48]"
Db,dominant-ninth,[],"['F3', 'Ab3', 'B3', 'Eb4', 'Bb4']","[33, 36, 39, 43, 50]"
C,major-seventh,[],"['B3', 'D4', 'E4', 'A4', 'G5']","[39, 42, 44, 49, 59]"
Eb,dominant,[],"['Db4', 'F4', 'G4', 'C5', 'G5']","[41, 45, 47, 52, 59]"
Ab,major-seventh,[],"['Ab3', 'C4', 'G4', 'Bb4', 'F5']","[36, 40, 47, 50, 57]"
Db,dominant,[],"['B3', 'Eb4', 'F4', 'Bb4', 'Eb5', 'Bb5']","[39, 43, 45, 50, 55, 62]"
Ab,major-minor,[],"['B3', 'Eb4', 'G4', 'B4', 'Eb5', 'Bb5']","[39, 43, 47, 51, 55, 62]"
C,major-seventh,[],"['C3', 'A3', 'E4', 'B4', 'D5', 'E5', 'G5']","[28, 37, 44, 51, 54, 56, 59]"
Bb,dominant,[],"['Bb2', 'F3', 'D4']","[26, 33, 42]"
Ab,dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","['Ab2', 'Gb3', 'A3', 'C4', 'F4']","[24, 34, 37, 40, 45]"
Db,dominant,[],"['Db3', 'F3', 'E4', 'F4']","[29, 33, 44, 45]"
Gb,dominant,[],"['Gb2', 'Fb3', 'Bb3', 'Fb4']","[22, 32, 38, 44]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'Eb3', 'Gb3']","[21, 31, 34]"
B,minor-seventh,[],"['B2', 'A3', 'D4']","[27, 37, 42]"
E,dominant,[],"['E2', 'E4', 'G#4']","[20, 44, 48]"
Bb,minor-seventh,[],"['Bb2', 'Ab3', 'Db4']","[26, 36, 41]"
Eb,dominant,[],"['Eb2', 'Eb4', 'G4']","[19, 43, 47]"
Ab,major,[],"['Ab2', 'Eb3', 'F3', 'Bb3', 'C4']","[24, 31, 33, 38, 40]"
Gb,dominant,[],"['Gb2', 'Fb3', 'Bb3', 'C4']","[22, 32, 38, 40]"
Gb,dominant,[],"['Gb2', 'Fb3', 'Bb3', 'C4']","[22, 32, 38, 40]"
Ab,minor-seventh,[],"['Ab2', 'Gb3', 'Cb4']","[24, 34, 39]"
B,minor-seventh,[],"['B2', 'A3', 'D4']","[27, 37, 42]"
Bb,minor-seventh,[],"['Bb2', 'F3', 'Db4']","[26, 33, 41]"
F,minor,[],"['F3', 'C4', 'Eb4', 'Ab4']","[33, 40, 43, 48]"
C,minor-seventh,[],"['C3', 'Eb3', 'Bb3', 'C4', 'G4']","[28, 31, 38, 40, 47]"
Bb,minor-seventh,[],"['Bb2', 'Db3', 'Ab3', 'Bb3', 'F4']","[26, 29, 36, 38, 45]"
G,major-seventh,[],"['G2', 'D3', 'F3', 'B3']","[23, 30, 33, 39]"
Ab,major-seventh,[],"['Ab2', 'Eb3', 'G3', 'C4']","[24, 31, 35, 40]"
D,major-seventh,[],"['D3', 'C#4', 'F#4']","[30, 41, 46]"
Eb,dominant,[],"['Eb3', 'Db4', 'G4']","[31, 41, 47]"
G,major-seventh,[],"['G2', 'D3', 'F3', 'B3']","[23, 30, 33, 39]"
Ab,major-seventh,[],"['Ab2', 'Eb3', 'G3', 'C4']","[24, 31, 35, 40]"
A,major-seventh,[],"['A2', 'E3', 'C#4']","[25, 32, 41]"
Bb,major-seventh,[],"['Bb2', 'F3', 'D4']","[26, 33, 42]"
Gb,dominant,[],"['Gb2', 'Fb3', 'Bb3', 'C4']","[22, 32, 38, 40]"
Ab,major-seventh,[],"['Ab2', 'Eb3', 'G3', 'C4']","[24, 31, 35, 40]"
Bb,major,[],"['Bb2', 'F3', 'D4']","[26, 33, 42]"
B,major,[],"['B2', 'F#3', 'D#4']","[27, 34, 43]"
C,major,[],"['C3', 'G3', 'B3', 'E4']","[28, 35, 39, 44]"
Bb,major-ninth,[],"['Bb2', 'A3', 'D4', 'C5']","[26, 37, 42, 52]"
A,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['A2', 'G3', 'C#4', 'Bb4']","[25, 35, 41, 50]"
D,minor-seventh,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['D3', 'C4', 'F4', 'E5']","[30, 40, 45, 56]"
Db,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['Db3', 'B3', 'F4', 'G4']","[29, 39, 45, 47]"
C,minor-seventh,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['C3', 'Bb3', 'Eb4', 'D5']","[28, 38, 43, 54]"
F,major,[],"['F2', 'A3', 'Eb4', 'D5']","[21, 37, 43, 54]"
Bb,major-ninth,[],"['Bb2', 'A3', 'D4', 'C5']","[26, 37, 42, 52]"
A,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['A2', 'G3', 'C#4', 'F4']","[25, 35, 41, 45]"
D,minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['D3', 'F3', 'B3', 'E4']","[30, 33, 39, 44]"
E,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['E3', 'G#3', 'D4', 'G4']","[32, 36, 42, 47]"
A,minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['A2', 'C4', 'F#4', 'B4']","[25, 40, 46, 51]"
D,minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['D2', 'F3', 'B3', 'E4']","[18, 33, 39, 44]"
Bb,major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Bb2', 'A3', 'D4', 'E5']","[26, 37, 42, 56]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['A2', 'G3', 'C#4', 'C5']","[25, 35, 41, 52]"
D,minor-seventh,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['D2', 'F3', 'C4', 'E4', 'A4']","[18, 33, 40, 44, 49]"
Db,dominant,[],"['Db2', 'B3', 'F4']","[17, 39, 45]"
C,minor-seventh,[],"['C2', 'Eb3', 'Bb3', 'F4']","[16, 31, 38, 45]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'F#3', 'Eb4', 'A4']","[21, 34, 43, 49]"
Bb,major-seventh,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['Bb2', 'A3', 'C4', 'E4']","[26, 37, 40, 44]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","['A2', 'G3', 'C#4', 'F4', 'C5']","[25, 35, 41, 45, 52]"
D,minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}]","['D2', 'F3', 'B3', 'E4', 'G4']","[18, 33, 39, 44, 47]"
D,minor-seventh,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['D3', 'F3', 'C4', 'E4', 'F5']","[30, 33, 40, 44, 57]"
Eb,major,[],"['Eb4', 'G5', 'Bb5']","[43, 59, 62]"
Ab,major,"[{'degree': '2', 'alter': '0', 'type': 'add'}]","['C4', 'Bb4', 'Bb5']","[40, 50, 62]"
Ab,minor-sixth,[],"['B3', 'Eb4', 'Eb5', 'Ab5']","[39, 43, 55, 60]"
Eb,major,[],"['Bb3', 'Eb5', 'Ab5']","[38, 55, 60]"
Ab,major-sixth,[],"['Bb3', 'Ab4', 'C5', 'F5']","[38, 48, 52, 57]"
Eb,major,"[{'degree': '2', 'alter': '0', 'type': 'add'}]","['Bb3', 'G4', 'Bb4', 'D5', 'F5']","[38, 47, 50, 54, 57]"
Gb,diminished-seventh,[],"['Bb3', 'F4', 'Gb4', 'A4', 'C5', 'F5']","[38, 45, 46, 49, 52, 57]"
F,minor-seventh,[],"['Bb2', 'Bb3', 'F4', 'Ab4', 'C5', 'Eb5']","[26, 38, 45, 48, 52, 55]"
Bb,dominant,[],"['Bb2', 'F4', 'Ab4', 'Bb4', 'D5']","[26, 45, 48, 50, 54]"
Bb,suspended-fourth,[],"['Bb2', 'Bb3', 'C5']","[26, 38, 52]"
Bb,major,[],"['D3', 'D5', 'F5', 'C6']","[30, 54, 57, 64]"
Ab,major,"[{'degree': '2', 'alter': '0', 'type': 'add'}]","['C4', 'Ab4', 'Eb5', 'Bb5']","[40, 48, 55, 62]"
Ab,minor-sixth,[],"['B3', 'Ab4', 'B4', 'Eb5', 'F5', 'Ab5']","[39, 48, 51, 55, 57, 60]"
Eb,major,[],"['Bb3', 'Eb5', 'Ab5']","[38, 55, 60]"
Ab,major-sixth,[],"['Ab3', 'C4', 'Eb4', 'F4']","[36, 40, 43, 45]"
Eb,major-ninth,[],"['Eb3', 'Bb3', 'D4', 'F4']","[31, 38, 42, 45]"
Bb,suspended-fourth,[],"['Bb3', 'Ab4', 'C5', 'Eb5', 'F5']","[38, 48, 52, 55, 57]"
Bb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Bb2', 'Ab3', 'C5', 'Eb5']","[26, 36, 52, 55]"
Eb,major,[],"['Eb3', 'Eb4', 'G4', 'Eb5']","[31, 43, 47, 55]"
D,dominant,[],"['Eb3', 'Eb4', 'G4', 'Eb5']","[31, 43, 47, 55]"
D,dominant,[],"['F#3', 'C4', 'Eb4', 'A4']","[34, 40, 43, 49]"
G,minor,[],"['G2', 'Bb3', 'D4']","[23, 38, 42]"
C,minor-ninth,[],"['C3', 'D4', 'F4']","[28, 42, 45]"
C,minor-sixth,[],"['C4', 'G4', 'Eb5']","[40, 47, 55]"
C,diminished-seventh,[],"['G2', 'Bb4', 'D5']","[23, 50, 54]"
G,minor,[],"['G2', 'Bb4', 'D5']","[23, 50, 54]"
C,minor-seventh,[],"['C3', 'G4', 'Bb4', 'F5']","[28, 47, 50, 57]"
F,suspended-fourth,[],"['F3', 'Eb4', 'Ab4', 'C5']","[33, 43, 48, 52]"
B,dominant-ninth,[],"['B2', 'A3', 'G4', 'C#5', 'Eb5', 'G5']","[27, 37, 47, 53, 55, 59]"
Bb,dominant,[],"['Bb2', 'F4', 'Ab4', 'C5', 'F5']","[26, 45, 48, 52, 57]"
C,major,[],"['C4', 'C5', 'E5']","[40, 52, 56]"
G,major,[],"['B3', 'A4', 'B4', 'A5']","[39, 49, 51, 61]"
C,major,[],"['G3', 'C5', 'F5']","[35, 52, 57]"
D,minor,[],"['F3', 'F4', 'A4', 'D5']","[33, 45, 49, 54]"
C,major,[],"['E3', 'C4', 'G4', 'D5']","[32, 40, 47, 54]"
D#,diminished-seventh,[],"['D#3', 'C4', 'F#4', 'C5']","[31, 40, 46, 52]"
D,minor-seventh,[],"['D3', 'C4', 'F4', 'A4', 'C5']","[30, 40, 45, 49, 52]"
C,dominant,[],"['C3', 'Bb3', 'G4', 'E5']","[28, 38, 47, 56]"
Bb,major,[],"['D3', 'Bb3', 'F4', 'D5']","[30, 38, 45, 54]"
C,dominant,[],"['E3', 'Bb3', 'C4', 'G4']","[32, 38, 40, 47]"
F,major-sixth,[],"['F2', 'A4', 'D5']","[21, 49, 54]"
F,minor-sixth,[],"['Ab3', 'C4', 'Ab4', 'F5']","[36, 40, 48, 57]"
C,major,[],"['G3', 'E4', 'G4', 'D5']","[35, 44, 47, 54]"
Eb,diminished-seventh,[],"['G3', 'Eb4', 'A4', 'C5']","[35, 43, 49, 52]"
G,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['G2', 'A3', 'C5']","[23, 37, 52]"
C,major,[],"['C3', 'G3', 'C4', 'E4', 'C5']","[28, 35, 40, 44, 52]"
C,major,[],"['C3', 'C3', 'G3', 'E4']","[28, 28, 35, 44]"
C,dominant,[],"['G3', 'Bb3', 'C4', 'E4']","[35, 38, 40, 44]"
C,major,[],"['C3', 'G3', 'C4', 'E4', 'C5']","[28, 35, 40, 44, 52]"
D,minor-seventh,[],"['D3', 'F3', 'C4', 'E4', 'A4']","[30, 33, 40, 44, 49]"
G,dominant,[],"['G2', 'F3', 'B3', 'E4', 'G4']","[23, 33, 39, 44, 47]"
D,minor-seventh,[],"['D3', 'F3', 'C4', 'E4', 'A4']","[30, 33, 40, 44, 49]"
G,dominant,[],"['G2', 'F3', 'B3', 'E4', 'G4']","[23, 33, 39, 44, 47]"
E,minor-seventh,[],"['E3', 'G3', 'D4', 'F#4', 'B4']","[32, 35, 42, 46, 51]"
A,dominant,[],"['A2', 'G3', 'C#4', 'F#4', 'A4']","[25, 35, 41, 46, 49]"
E,minor-seventh,[],"['D4', 'F#4', 'B4']","[42, 46, 51]"
A,dominant,[],"['A2', 'G3', 'C#4', 'F#4', 'A4']","[25, 35, 41, 46, 49]"
A,half-diminished,[],"['E4', 'B4', 'D5']","[44, 51, 54]"
D,dominant,[],"['D3', 'Gb3', 'E4', 'A4', 'C5']","[30, 34, 44, 49, 52]"
Ab,minor-seventh,[],"['B3', 'Eb4', 'Bb4']","[39, 43, 50]"
Db,dominant,[],"['Db3', 'F3', 'B3', 'Eb4', 'Ab4']","[29, 33, 39, 43, 48]"
C,major,[],"['C3', 'E3', 'A3', 'D4', 'G4']","[28, 32, 37, 42, 47]"
E,half-diminished,[],"['E3', 'G3', 'D4', 'Bb4']","[32, 35, 42, 50]"
A,dominant,[],"['A2', 'G3', 'E4', 'A4']","[25, 35, 44, 49]"
C,major,[],"['C3', 'E3', 'A3', 'D4', 'G4']","[28, 32, 37, 42, 47]"
E,minor-seventh,[],"['E3', 'B3', 'G4', 'D5']","[32, 39, 47, 54]"
C,major-seventh,[],"['C3', 'B3', 'E4', 'G4']","[28, 39, 44, 47]"
G,minor-seventh,[],"['G3', 'Bb3', 'D4', 'F4', 'C5']","[35, 38, 42, 45, 52]"
C,dominant,[],"['G3', 'Bb3', 'C4', 'E4', 'G4']","[35, 38, 40, 44, 47]"
G,minor-seventh,[],"['G3', 'Bb3', 'D4', 'F4', 'C5']","[35, 38, 42, 45, 52]"
C,dominant,[],"['G3', 'Bb3', 'C4', 'E4', 'G4']","[35, 38, 40, 44, 47]"
F,major-seventh,[],"['F3', 'A3', 'C4', 'E4', 'C5']","[33, 37, 40, 44, 52]"
G,minor-seventh,[],"['G3', 'Bb3', 'D4', 'F4', 'G4']","[35, 38, 42, 45, 47]"
C,dominant,[],"['G3', 'Bb3', 'C4', 'E4', 'C5']","[35, 38, 40, 44, 52]"
A,minor-seventh,[],"['A3', 'C4', 'E4', 'G4', 'D5']","[37, 40, 44, 47, 54]"
D,dominant,[],"['A3', 'C4', 'D4', 'F#4', 'A4']","[37, 40, 42, 46, 49]"
A,minor-seventh,[],"['A3', 'C4', 'E4', 'G4', 'D5']","[37, 40, 44, 47, 54]"
D,dominant,[],"['A3', 'C4', 'D4', 'F#4', 'A4']","[37, 40, 42, 46, 49]"
G,dominant,[],"['A3', 'C4', 'D4', 'F4', 'D5']","[37, 40, 42, 45, 54]"
E,minor-seventh,[],"['E3', 'G3', 'B3', 'E5']","[32, 35, 39, 56]"
A,dominant,[],"['Db3', 'G3', 'A3', 'A4']","[29, 35, 37, 49]"
D,minor-seventh,[],"['D3', 'F3', 'C4', 'E4', 'A4']","[30, 33, 40, 44, 49]"
G,dominant,[],"['G2', 'F3', 'B3', 'E4', 'G4']","[23, 33, 39, 44, 47]"
D,minor-seventh,[],"['C4', 'E4', 'A4']","[40, 44, 49]"
G,dominant,[],"['G2', 'F3', 'B3', 'E4', 'G4']","[23, 33, 39, 44, 47]"
E,minor-seventh,[],"['E3', 'G3', 'D4', 'F#4', 'B4']","[32, 35, 42, 46, 51]"
A,dominant,[],"['A2', 'G3', 'C#4', 'F#4', 'A4']","[25, 35, 41, 46, 49]"
E,minor-seventh,[],"['D4', 'F#4', 'B4']","[42, 46, 51]"
A,dominant,[],"['A2', 'G3', 'C#4', 'F#4', 'A4']","[25, 35, 41, 46, 49]"
A,half-diminished,[],"['E4', 'B4', 'D5']","[44, 51, 54]"
D,dominant,[],"['D3', 'Gb3', 'E4', 'A4', 'C5']","[30, 34, 44, 49, 52]"
Ab,minor-seventh,[],"['B3', 'Eb4', 'Bb4']","[39, 43, 50]"
Db,dominant,[],"['Db3', 'F3', 'B3', 'Eb4', 'Ab4']","[29, 33, 39, 43, 48]"
C,major,[],"['C3', 'E3', 'A3', 'D4', 'G4']","[28, 32, 37, 42, 47]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'Eb4', 'F4', 'F4', 'G4', 'Ab4', 'Bb4', 'Bb4', 'Bb4', 'C5', 'Db5', 'Eb5']","[40, 43, 45, 45, 47, 48, 50, 50, 50, 52, 53, 55]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'Eb4', 'F4', 'F4', 'G4', 'Ab4', 'Bb4', 'Bb4', 'Bb4', 'C5', 'Db5', 'Eb5']","[40, 43, 45, 45, 47, 48, 50, 50, 50, 52, 53, 55]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'Eb4', 'F4', 'F4', 'G4', 'Ab4', 'Bb4', 'Bb4', 'Bb4', 'C5', 'Db5', 'Eb5']","[40, 43, 45, 45, 47, 48, 50, 50, 50, 52, 53, 55]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Eb4', 'Ab4', 'Bb4', 'Db5']","[43, 48, 50, 53]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Eb4', 'Ab4', 'Bb4', 'Db5']","[43, 48, 50, 53]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Eb4', 'Ab4', 'Bb4', 'Db5']","[43, 48, 50, 53]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Eb4', 'Ab4', 'Bb4', 'Db5']","[43, 48, 50, 53]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Eb4', 'Ab4', 'Bb4', 'Db5']","[43, 48, 50, 53]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F4', 'Bb4', 'C5', 'Eb5']","[45, 50, 52, 55]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Eb4', 'Ab4', 'Bb4', 'Db5']","[43, 48, 50, 53]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Eb4', 'Ab4', 'Bb4', 'Db5']","[43, 48, 50, 53]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C4', 'F4', 'G4', 'Bb4']","[40, 45, 47, 50]"
F,suspended-fourth,[],"['F3', 'Bb3', 'Eb4', 'Bb4']","[33, 38, 43, 50]"
F,dominant,[],"['F3', 'A3', 'Eb4', 'A4', 'C5']","[33, 37, 43, 49, 52]"
Bb,major-seventh,[],"['Bb3', 'A4', 'D5']","[38, 49, 54]"
