label,notes
minor-seventh,"[26, 49, 52, 54, 57]"
minor-seventh,"[24, 43, 47, 50, 55]"
minor-seventh,"[21, 47, 50, 54]"
minor-seventh,"[16, 35, 38, 43, 47]"
minor-seventh,"[16, 35, 38, 43]"
minor-seventh,"[16, 35, 38, 40, 43]"
suspended-fourth,"[28, 38, 47, 50, 54, 57]"
dominant-ninth,"[28, 38, 44, 48, 54]"
dominant-ninth,"[39, 40, 44, 47]"
dominant,"[16, 26, 32, 36, 40]"
minor-seventh,"[16, 35, 38, 43, 47]"
minor-ninth,"[28, 38, 42, 43, 47, 50]"
minor-ninth,"[16, 26, 35, 38, 43]"
minor-ninth,"[16, 26, 35, 38, 43]"
minor-seventh,"[16, 35, 38, 43]"
major-seventh,"[16, 35, 39, 44]"
dominant,"[16, 26, 40, 44, 48, 52]"
minor-seventh,"[28, 42, 43]"
minor-seventh,"[16, 35, 38, 43, 47]"
minor-ninth,"[28, 38, 42, 43, 47, 50]"
dominant-ninth,"[16, 38, 42, 44, 47]"
suspended-fourth,"[16, 35, 38, 42, 45]"
suspended-fourth,"[28, 38, 54, 57, 62]"
major-seventh,"[30, 52, 56, 61]"
major-seventh,"[30, 52, 52, 56, 56, 61]"
minor-seventh,"[16, 35, 38, 43, 47]"
minor-ninth,"[28, 38, 42, 43, 47, 50]"
minor-ninth,"[16, 26, 35, 38, 43]"
minor-ninth,"[16, 26, 35, 38, 43]"
minor-seventh,"[16, 35, 38, 43]"
minor-seventh,"[33, 43, 62]"
major-seventh,"[16, 35, 39, 44]"
dominant,"[16, 26, 40, 44, 48, 52]"
minor-seventh,"[28, 42, 43]"
minor-seventh,"[16, 47, 50, 55]"
dominant-ninth,"[16, 38, 42, 44, 47]"
suspended-fourth,"[16, 35, 38, 42, 45]"
suspended-fourth,"[28, 38, 54, 57, 62]"
major-seventh,"[30, 52, 56, 61]"
major-seventh,"[16, 35, 39, 44]"
major-seventh,"[30, 40, 44, 47, 51]"
major-seventh,"[16, 32, 37, 42]"
major-seventh,"[30, 40, 44, 47, 51]"
major-seventh,"[16, 35, 39, 44]"
major-seventh,"[30, 40, 44, 47, 51]"
major-seventh,"[16, 32, 37, 42]"
major-seventh,"[30, 40, 44, 47, 51]"
minor,"[28, 35, 43, 55]"
major,"[28, 59, 64]"
major,"[23, 44, 52]"
suspended-fourth,"[28, 35, 45, 50, 54]"
major,"[16, 44, 47]"
major,"[32, 56, 59, 64]"
major-seventh,"[28, 53, 61]"
major,"[20, 40, 44, 47, 52]"
major,"[28, 44, 51]"
minor-seventh,"[28, 43, 52]"
suspended-fourth,"[28, 44, 47]"
major-seventh,"[23, 44, 47]"
suspended-fourth,"[28, 50, 54]"
major,"[28, 44, 47]"
major-seventh,"[28, 39, 44, 49]"
dominant-ninth,"[28, 38, 42, 44]"
minor-seventh,"[28, 38, 43, 45]"
dominant,"[28, 38, 44]"
minor-seventh,"[28, 38, 43, 45]"
dominant,"[28, 38, 44, 46]"
major-seventh,"[28, 44, 47]"
minor-seventh,"[16, 35, 38, 43]"
dominant-13th,"[28, 38, 42, 49, 54]"
major-seventh,"[28, 35, 39, 44]"
dominant,"[28, 42, 46]"
minor-seventh,"[28, 38, 43, 48]"
dominant,"[28, 38, 44, 49]"
dominant,"[32, 38, 43]"
dominant,"[28, 38, 42, 44]"
minor-seventh,"[28, 38, 44, 48, 55]"
dominant,"[28, 41, 44, 50]"
minor-seventh,"[28, 38, 42, 47, 52]"
dominant,"[28, 32, 38, 42, 48]"
minor-seventh,"[28, 38, 43, 47, 54]"
dominant,"[28, 32, 38, 41, 44, 49]"
major-seventh,"[28, 47, 51, 56]"
minor-seventh,"[38, 42, 47]"
dominant,"[32, 37, 40]"
minor-seventh,"[28, 47, 50, 55]"
minor-seventh,"[28, 38, 42, 47]"
minor-seventh,"[40, 47, 50, 55]"
half-diminished,"[40, 46, 49, 55]"
minor-seventh,"[38, 43, 47, 52]"
minor-seventh,"[35, 43, 47, 50]"
major-seventh,"[28, 35, 39, 44]"
minor-seventh,"[28, 35, 38, 43]"
dominant,"[28, 38, 41, 44, 49]"
dominant,"[28, 38, 41, 44, 49]"
major-seventh,"[28, 39, 42, 44, 47]"
minor-seventh,"[28, 38, 43, 46]"
dominant,"[28, 38, 44, 49]"
minor-seventh,"[28, 47, 50, 55]"
minor-seventh,"[28, 44, 48, 55]"
suspended-fourth,"[28, 38, 42, 46]"
dominant,"[28, 38, 40, 42, 47]"
dominant-ninth,"[16, 28, 47]"
major,"[16, 28, 47]"
dominant,"[16, 28, 56]"
dominant-13th,"[16, 28, 56]"
minor-seventh,"[28, 47, 50, 57]"
dominant,"[28, 38, 45, 52]"
major-seventh,"[28, 35, 39, 44]"
dominant,"[28, 42, 46]"
major,"[32, 42, 47, 52]"
dominant,"[28, 38, 44]"
dominant,"[28, 44, 48, 52]"
dominant,"[28, 32, 38, 42, 47]"
dominant-13th,"[28, 50, 58]"
suspended-fourth,"[28, 47, 56]"
dominant-13th,"[32, 37, 40]"
minor-seventh,"[28, 38, 43, 47, 52]"
dominant-13th,"[28, 38, 44, 49, 56]"
dominant,"[28, 38, 42, 47]"
major-seventh,"[28, 35, 39, 44]"
major-seventh,"[27, 32, 35, 40]"
minor-seventh,"[28, 35, 38, 43]"
minor-seventh,"[26, 38, 42, 47]"
dominant,"[20, 26, 32, 35, 40]"
dominant,"[28, 38, 42, 46, 49]"
dominant-13th,"[28, 38, 44, 46, 49]"
minor-seventh,"[28, 43, 45]"
dominant-ninth,"[28, 38, 42, 47]"
dominant,"[28, 38, 43, 46]"
minor-seventh,"[28, 38, 43, 47]"
minor-seventh,"[28, 38, 43, 48]"
minor-seventh,"[28, 38, 43, 49]"
minor-seventh,"[28, 38, 42, 43, 50]"
dominant-ninth,"[28, 38, 42, 44, 51]"
major-seventh,"[28, 44, 47, 51]"
dominant-ninth,"[32, 38, 42, 47]"
minor,"[28, 35, 38, 43]"
dominant,"[28, 38, 44, 49, 54]"
minor-seventh,"[28, 38, 46, 52, 57]"
minor-seventh,"[16, 55, 59, 64]"
major-minor,"[28, 39, 43, 47]"
minor-seventh,"[28, 35, 38, 43]"
half-diminished,"[28, 35, 38, 43]"
major-seventh,"[40, 47, 51, 56]"
dominant,"[28, 38, 42, 44, 48]"
minor-seventh,"[28, 38, 44, 48, 55]"
dominant,"[28, 47, 50, 56]"
minor-seventh,"[28, 38, 46, 50, 56]"
dominant,"[28, 38, 41, 44, 47, 50]"
dominant,"[28, 38, 41, 44, 47, 50]"
minor,"[28, 38, 43, 47, 52]"
dominant,"[28, 38, 42, 45, 47]"
minor-seventh,"[28, 38, 43, 47]"
dominant-13th,"[28, 38, 50, 53, 56, 61]"
major-seventh,"[28, 39, 59, 63, 68]"
suspended-fourth,"[28, 38, 42, 46]"
suspended-fourth,"[28, 38, 42, 45]"
suspended-fourth,"[28, 38, 42, 45]"
suspended-fourth,"[28, 38, 42, 45, 49]"
minor-seventh,"[28, 38, 40, 44, 49]"
minor-seventh,"[28, 38, 40, 44, 49]"
dominant-13th,"[28, 38, 40, 44, 48]"
major-seventh,"[28, 35, 39, 44]"
minor-seventh,"[28, 38, 43, 48]"
minor-seventh,"[28, 38, 43, 47, 52]"
dominant-ninth,"[28, 38, 44, 48, 53]"
dominant,"[28, 34, 38, 42]"
major-seventh,"[28, 35, 39, 44]"
major-seventh,"[28, 39, 44, 47]"
half-diminished,"[28, 38, 43, 46]"
minor-seventh,"[28, 38, 47, 50, 55]"
minor-seventh,"[28, 38, 42]"
minor-ninth,"[28, 38, 42]"
major-seventh,"[30, 35, 39]"
minor-seventh,"[28, 35, 38, 43]"
dominant,"[28, 38, 47, 50, 56]"
suspended-fourth,"[28, 38, 42, 47, 52]"
major-minor,"[28, 38, 44, 48, 55]"
dominant-ninth,"[28, 38, 42, 47]"
dominant,"[16, 26, 32, 36]"
minor-seventh,"[28, 43, 47, 52]"
dominant,"[28, 38, 40, 44, 48]"
major-seventh,"[28, 43, 47, 54]"
dominant,"[28, 38, 42, 44, 49, 52]"
